"Category","Keywords"
"Cardiologist","cardiology,ecg,echocardiogram,cardiac catheterization,heart failure,arrhythmia,electrophysiology,interventional cardiology,stent,ablation"
"Neurologist","neurology,mri,ct,eeg,emg,stroke,seizure,multiple sclerosis,parkinson,alzheimer,lumbar puncture,neuroimaging,clinical trials"
"Oncologist","oncology,chemotherapy,radiation,immunotherapy,targeted therapy,cancer staging,clinical trials,pathology,hematology,bone marrow"
"Psychiatrist","psychiatry,dsm-5,psychopharmacology,cbt,dbt,medication management,inpatient,outpatient,mental health,diagnosis,treatment plan"
"Radiologist","radiology,mri,ct,ultrasound,x-ray,pacs,ris,reporting,interpretation,anatomy,clinical correlation,ai radiology,structured reporting"
"Anesthesiologist","anesthesia,general anesthesia,regional anesthesia,airway management,mechanical ventilation,critical care,perioperative,pain management"
"Emergency Medicine Physician","emergency medicine,trauma,triage,resuscitation,acls,atls,intubation,critical care,ehr,epic,procedures,rapid assessment"
"Family Medicine Physician","family medicine,primary care,preventive care,chronic disease,ehr,epic,patient panel,chronic disease management,referral,preventive"
"Pediatrician","pediatrics,child health,vaccination,growth development,ehr,epic,immunization,well child visit,nicu,pediatric emergency"
"Obstetrician Gynecologist","obstetrics,gynecology,prenatal,labor delivery,c-section,ultrasound,fetal monitoring,ehr,epic,reproductive health,colposcopy"
"Orthopedic Surgeon","orthopedics,joint replacement,arthroscopy,fracture,sports medicine,spine,total knee,total hip,shoulder,rehabilitation,imaging"
"Dermatologist","dermatology,skin,biopsy,mohs surgery,laser,cosmetic,acne,psoriasis,eczema,melanoma,phototherapy,dermoscopy"
"Ophthalmologist","ophthalmology,eye,vision,cataract,glaucoma,retina,laser surgery,lasik,cornea,strabismus,refraction,oct,slit lamp"
"Registered Nurse","nursing,icu,critical care,medications,patient care,ehr,epic,vital signs,assessment,documentation,care plan,acls,bls"
"Nurse Practitioner","nurse practitioner,np,diagnosis,treatment,prescribing,primary care,acute care,ehr,epic,clinical assessment,patient education"
"Physician Assistant","physician assistant,pa,diagnosis,treatment,prescribing,clinical assessment,ehr,epic,surgery,primary care,acute care"
"Clinical Nurse Specialist","clinical nurse specialist,cns,evidence based practice,clinical leadership,patient outcomes,education,research,specialty,protocol"
"Pharmacist","pharmacy,dispensing,medications,pharmacokinetics,drug interaction,patient counseling,ehr,clinical pharmacy,formulary,vaccination,bcps"
"Physical Therapist","physical therapy,pt,musculoskeletal,rehabilitation,exercise therapy,manual therapy,injury prevention,biomechanics,patient assessment"
"Occupational Therapist","occupational therapy,ot,activities of daily living,adl,rehabilitation,sensory integration,adaptive equipment,cognitive,pediatric"
"Speech Language Pathologist","speech language pathology,slp,communication disorders,dysphagia,articulation,language development,aac,aphasia,autism"
"Radiologic Technologist","radiologic technology,x-ray,ct,mri,fluoroscopy,radiation safety,patient positioning,pacs,arrt,modality,image quality"
"Medical Laboratory Scientist","clinical laboratory,blood,urine,hematology,chemistry,microbiology,immunology,molecular diagnostics,pcr,quality control,lims"
"Respiratory Therapist","respiratory therapy,mechanical ventilation,intubation,pulmonary function,oxygen therapy,cpap,bipap,ards,icu,nebulizer"
"Surgical Technologist","surgical tech,sterile technique,instrument,surgical procedure,scrub,draping,counting,autoclave,cssd,operating room"
"Medical Coder","medical coding,icd-10,cpt,hcpcs,medical billing,ehr,epic,compliance,reimbursement,e/m coding,cpc,ccs"
"Clinical Research Coordinator","clinical research,clinical trials,irb,gcp,protocol,informed consent,data collection,case report form,crf,adverse event,fda"
"Biostatistician","biostatistics,r,sas,stata,clinical trials,survival analysis,regression,mixed models,power analysis,protocol,fda submissions"
"Medical Writer","medical writing,clinical study report,regulatory submission,fda,ema,ich guidelines,scientific writing,publications,manuscripts"
"Health Informatics Specialist","health informatics,ehr,epic,cerner,hl7,fhir,interoperability,clinical data,sql,analytics,healthcare it,meaningful use"
"Telemedicine Physician","telemedicine,telehealth,virtual care,primary care,diagnosis,treatment,ehr,doxy.me,doximity,state licensure,patient communication"
"Public Health Analyst","public health,epidemiology,biostatistics,surveillance,data analysis,r,stata,sas,community health,health policy,program evaluation"
"Health Economist","health economics,pharmacoeconomics,cost effectiveness,budget impact,markov model,qaly,heor,sas,r,reimbursement,hta,policy"
"Licensed Clinical Social Worker","social work,lcsw,therapy,counseling,case management,assessment,intervention,mental health,child welfare,documentation,hipaa"
"Marriage Family Therapist","marriage family therapy,mft,couples counseling,family therapy,cbt,attachment,gottman,emdr,trauma,mental health,licensure"
"Substance Abuse Counselor","substance abuse,addiction,recovery,cbt,motivational interviewing,12 step,detox,group therapy,case management,co-occurring"
"Behavioral Health Technician","behavioral health,aba,applied behavior analysis,autism,dbt skills,crisis intervention,documentation,de-escalation,milieu"
"Pharmaceutical Scientist","drug discovery,medicinal chemistry,pharmacology,formulation,preclinical,in vitro,in vivo,assay development,hts,lead optimization"
"Clinical Pharmacologist","clinical pharmacology,pharmacokinetics,pharmacodynamics,clinical trials,nda,fda,dose,bioavailability,drug interaction,modeling"
"Regulatory Affairs Specialist","regulatory affairs,fda,ema,ich,510k,pma,nda,bla,dossier,submission,compliance,quality,ra,cmc,labeling"
"Quality Assurance Scientist","quality assurance,gmp,gcp,glp,iso 13485,validation,sop,capa,deviation,oos,batch record,fda,ema,audit,quality management"
"Clinical Data Manager","clinical data management,clinical database,cdms,medidata rave,oracle clinical,edc,data validation,coding,meddra,who drug"
"Bioinformatician","bioinformatics,python,r,perl,next generation sequencing,ngs,genomics,transcriptomics,proteomics,snp,variant calling,blast,bwa"
"Biomedical Engineer","matlab,labview,medical devices,fda,iec 62304,iso 14971,signal processing,ecg,eeg,biomechanics,clinical trials,regulatory"
"Formulation Scientist","drug formulation,solid dosage,oral,injectable,cream,ointment,excipient,stability,dissolution,gmp,doe,design of experiment"
"Process Development Scientist","process development,upstream,downstream,cell culture,bioreactor,purification,chromatography,filtration,scale up,gmp,tech transfer"
"Mechanical Engineer","solidworks,catia,autocad,ansys,abaqus,matlab,cad,fea,cfd,tolerancing,gd&t,manufacturing,cnc,injection molding,additive manufacturing,dfm,lean,six sigma"
"Thermal Engineer","heat transfer,cfd,ansys fluent,star ccm,matlab,thermodynamics,thermal management,cooling,heat sink,hvac,simulation"
"Manufacturing Engineer","manufacturing,cnc,lean manufacturing,six sigma,kaizen,jig,fixture,tooling,solidworks,autocad,quality,gd&t,dfm,process improvement"
"Product Design Engineer","solidworks,catia,product design,cad,fea,tolerancing,gd&t,dfm,prototype,testing,material selection,injection molding,rendering"
"Mechatronics Engineer","mechatronics,embedded,c,c++,matlab,simulink,plc,scada,hmi,motor control,sensors,actuators,pid,control systems,automation"
"HVAC Engineer","hvac,cooling,heating,ventilation,autocad,revit,mep,chiller,ahu,heat exchanger,psychrometrics,energy simulation,ashrae"
"Piping Engineer","piping,p&id,isometric,stress analysis,caesar ii,autocad,pdms,e3d,asme,pressure vessel,material selection,flange,valve"
"Reliability Engineer","reliability,fmea,fta,weibull,maintainability,maintenance strategy,rcm,root cause analysis,rca,sop,kpi,predictive maintenance"
"Civil Engineer","autocad,revit,civil 3d,staad,etabs,structural analysis,soil mechanics,geotechnical,bim,construction management,primavera,ms project,leed"
"Structural Engineer","staad,etabs,sap2000,ansys,structural analysis,steel,concrete,foundation,seismic,wind load,cad,drawing,code compliance"
"Geotechnical Engineer","geotechnical,soil mechanics,foundation,pile,retaining wall,slope stability,settlement,laboratory testing,field investigation,bore hole"
"Transportation Engineer","transportation,traffic engineering,highway design,intersection,signalization,traffic modeling,vissim,synchro,autocad,civil 3d"
"Environmental Engineer","environmental engineering,wastewater,drinking water,air quality,solid waste,remediation,permits,epa,state regulatory,modeling"
"Construction Manager","construction management,project management,scheduling,primavera,ms project,budget,subcontractor,rfi,submittal,safety,osha,contract"
"Site Engineer","site supervision,construction,quality control,sop,rfi,submittal,daily report,safety,autocad,surveying,measurement,inspection"
"Cost Estimator","cost estimation,quantity surveying,boq,bill of quantities,takeoff,bid,tender,pricing,excel,planswift,bluebeam,construction"
"BIM Manager","bim,revit,autocad,navisworks,coordination,clash detection,4d bim,5d bim,ifc,openBIM,project management,lod,mep coordination"
"Electrical Engineer","altium,kicad,pcb design,circuit simulation,spice,matlab,simulink,power electronics,plc,scada,fpga,verilog,control systems,signal processing"
"Power Systems Engineer","power systems,load flow,fault analysis,protection relay,substation,transmission,distribution,scada,pscad,pss/e,digsilent,ieee"
"Control Systems Engineer","control systems,pid controller,matlab,simulink,plc,scada,hmi,automation,ladder logic,function block,iec 61131,dcs"
"RF Engineer","rf,radio frequency,antenna,microwave,high frequency,pcb,matching network,smith chart,ads,cst,hfss,spectrum analyzer,vna"
"Power Electronics Engineer","power electronics,converter,inverter,pwm,mosfet,igbt,gate driver,battery management,bms,ev,solar,energy storage,simulation"
"Instrumentation Engineer","instrumentation,measurement,sensors,transmitters,plc,scada,dcs,calibration,p&id,loop diagram,fieldbus,foundation fieldbus"
"Test Engineer","test engineering,test equipment,oscilloscope,multimeter,signal analyzer,labview,python,automation,characterization,validation,verification"
"Chemical Engineer","aspen plus,hysys,matlab,process simulation,thermodynamics,heat transfer,mass transfer,reaction engineering,hazop,safety,gmp,six sigma"
"Process Engineer","process engineering,p&id,hazop,aspen plus,piping,pressure vessel,heat exchanger,pump,compressor,safety,commissioning,troubleshooting"
"Chemical Process Operator","process operations,dcs,scada,p&id,safety,shift work,sampling,quality control,maintenance,sop,hazardous materials"
"Polymer Scientist","polymer science,synthesis,characterization,rheology,extrusion,injection molding,materials,gpc,dsc,tga,tensile testing,formulation"
"Materials Scientist","materials science,characterization,sem,tem,xrd,mechanical testing,metallurgy,composites,failure analysis,polymer,ceramic,coating"
"Aerospace Engineer","cfd,ansys fluent,matlab,simulink,flight dynamics,structural analysis,composite,do-178,systems engineering,mbse,stk,adc"
"Systems Engineer","systems engineering,mbse,cameo,sysml,requirements,architecture,interface,verification,validation,v&v,se process,stakeholder"
"Flight Test Engineer","flight test,test planning,data acquisition,telemetry,flight dynamics,matlab,python,performance,handling qualities,certification"
"Propulsion Engineer","propulsion,turbomachinery,combustion,gas turbine,rocket,nozzle,cfd,ansys,matlab,thermodynamics,thermal analysis,testing"
"Environmental Scientist","gis,arcgis,environmental assessment,field sampling,ecology,water quality,air quality,contamination,remediation,sustainability,iso 14001"
"Environmental Consultant","environmental consulting,eia,phase i,phase ii,remediation,permitting,epa,regulatory,report writing,soil,groundwater,hazardous waste"
"Sustainability Manager","sustainability,esg,carbon footprint,greenhouse gas,ghg protocol,lifecycle assessment,lca,iso 14001,reporting,carbon neutral,net zero"
"Climate Scientist","climate modeling,gcm,cesm,python,r,netcdf,gis,atmospheric science,oceanography,remote sensing,data analysis,ipcc"
"Hydrologist","hydrology,gis,arcgis,swmm,hec-hms,hec-ras,groundwater,swat,field work,water quality,flood modeling,watershed"
"Operations Manager","operations management,lean,six sigma,kaizen,kpi,budget,vendor management,workforce management,erp,sap,quality,iso,process improvement"
"Supply Chain Manager","supply chain,logistics,erp,sap,oracle,demand planning,s&op,inventory management,procurement,strategic sourcing,3pl,rfq,lean"
"Procurement Manager","procurement,strategic sourcing,rfq,rfp,negotiation,vendor management,contract management,sap,ariba,cost reduction,spend analysis"
"Warehouse Manager","warehouse management,wms,inventory,picking,packing,shipping,receiving,kpi,safety,5s,lean,erp,sap,forklift,cycle count"
"Quality Manager","quality management,iso 9001,iso 13485,gmp,capa,audit,inspection,spc,six sigma,lean,fmea,quality system,regulatory"
"Lean Engineer","lean manufacturing,six sigma,kaizen,value stream mapping,vsm,5s,kanban,jidoka,poka yoke,oee,continuous improvement,tpm"
"Industrial Engineer","industrial engineering,lean,six sigma,time study,ergonomics,plant layout,simulation,arena,automod,process improvement,sap,erp"
"Plant Manager","plant management,manufacturing,operations,lean,six sigma,budget,safety,osha,workforce management,kpi,erp,sap,quality,production planning"
"Production Planner","production planning,mrp,erp,sap,oracle,demand forecasting,inventory,scheduling,bill of materials,bom,supply chain,excel"
"Maintenance Manager","maintenance management,predictive maintenance,preventive maintenance,cmms,sap pm,reliability,fmea,rcm,safety,kpi,spare parts"
"Teacher","lesson planning,curriculum design,differentiated instruction,assessment,classroom management,student engagement,lms,google classroom,canvas"
"University Professor","research,teaching,publications,peer review,grant writing,curriculum development,academic writing,phd,advising,laboratory"
"School Principal","school leadership,curriculum,staff management,student outcomes,community engagement,budget,policy,compliance,crisis management"
"Instructional Designer","instructional design,e-learning,lms,articulate storyline,lectora,captivate,scorm,blended learning,learning objectives,ux"
"Education Technology Specialist","edtech,lms,canvas,blackboard,moodle,google classroom,data analytics,student outcomes,training,instructional design"
"School Counselor","school counseling,college counseling,social emotional learning,sel,counseling,college readiness,crisis intervention,504,iep"
"Special Education Teacher","special education,iep,504 plan,differentiated instruction,behavior management,autism,learning disability,assistive technology"
"ESL Teacher","esl,english as a second language,tefl,tesol,language acquisition,curriculum,lesson planning,student engagement,assessment,ell"
"Tutor","tutoring,academic support,math,science,english,reading,writing,sat,act,gre,gmat,test prep,one-on-one,group"
"Academic Advisor","academic advising,degree planning,graduation requirements,registration,career counseling,retention,student success,advising tools"
"Training Specialist","corporate training,l&d,lms,facilitation,instructional design,e-learning,needs assessment,train the trainer,evaluation,kirkpatrick"
"Attorney","legal,law,litigation,contracts,corporate law,intellectual property,employment law,compliance,research,brief,discovery,deposition,trial"
"Corporate Lawyer","corporate law,m&a,securities,governance,transactions,due diligence,contracts,compliance,sec filings,board,shareholder,financing"
"Litigation Attorney","litigation,civil litigation,trial,arbitration,mediation,discovery,deposition,motion,brief,appellate,expert witness,damages"
"Employment Lawyer","employment law,discrimination,harassment,wrongful termination,wage hour,flsa,fmla,ada,title vii,arbitration,mediation,nlrb"
"Intellectual Property Attorney","intellectual property,patent,trademark,copyright,trade secret,licensing,portfolio,prosecution,litigation,fto,ip strategy"
"Compliance Officer","compliance,regulatory,risk management,audit,policy,procedure,kyc,aml,gdpr,hipaa,sox,bsa,training,reporting"
"Paralegal","legal research,drafting,filing,discovery,deposition,contract review,westlaw,lexisnexis,case management,litigation support,e-discovery"
"Legal Counsel","legal counsel,contracts,negotiation,corporate law,intellectual property,employment law,compliance,regulatory,due diligence,risk"
"Contract Manager","contract management,drafting,negotiation,review,procurement,vendor,sow,nda,master service agreement,clm software,salesforce"
"Data Privacy Lawyer","data privacy,gdpr,ccpa,privacy law,data protection,privacy by design,dpia,consent,data breach,regulatory,compliance,cipp"
"Research Scientist","research,experimental design,data analysis,python,r,matlab,publications,peer review,grant writing,laboratory,statistics"
"Biologist","biology,cell culture,molecular biology,pcr,western blot,elisa,microscopy,flow cytometry,data analysis,r,python,publications"
"Biochemist","biochemistry,protein,enzyme,assay,western blot,pcr,mass spectrometry,hplc,cell culture,molecular biology,cloning,expression"
"Chemist","analytical chemistry,synthesis,hplc,nmr,mass spectrometry,gc-ms,titration,spectroscopy,characterization,method development,gmp"
"Physicist","physics,quantum mechanics,simulation,matlab,python,fortran,data analysis,optics,laser,experimental,theoretical,publications"
"Geologist","geology,gis,arcgis,remote sensing,field work,sampling,stratigraphy,petrology,mineralogy,geochemistry,core logging,seismic"
"Astronomer","astronomy,astrophysics,telescope,imaging,spectroscopy,python,astropy,data reduction,publications,nasa,esa,arxiv,observational"
"Marine Biologist","marine biology,field work,scuba,sampling,species identification,ecology,oceanography,gis,data analysis,r,python,publications"
"Statistician","statistics,r,python,sas,stata,spss,regression,anova,bayesian,experimental design,monte carlo,simulation,publications"
"Psychologist","psychology,cbt,dbt,assessment,diagnosis,mental health,research,publications,supervision,clinical,neuropsychology"
"Epidemiologist","epidemiology,biostatistics,r,stata,sas,clinical trials,cohort study,case control,systematic review,meta analysis,surveillance,who"
"Neuroscientist","neuroscience,electrophysiology,eeg,fmri,python,matlab,r,data analysis,animal models,cell culture,publications,grant writing"
"Geneticist","genetics,genomics,ngs,variant calling,python,r,bioinformatics,crispr,pcr,snp,gwas,population genetics,clinical genetics"
"Policy Analyst","policy research,legislation,government,stakeholder analysis,cost benefit analysis,report writing,public administration,advocacy,budget"
"Urban Planner","gis,arcgis,land use,zoning,transportation planning,environmental review,community engagement,demographic analysis,sustainability,bim"
"Government Affairs Manager","government affairs,lobbying,regulatory,legislation,policy advocacy,coalition,stakeholder,executive,reporting,compliance"
"Intelligence Analyst","intelligence,analysis,osint,geospatial,reporting,databases,geoint,sigint,humint,threat assessment,python,sql"
"Foreign Service Officer","foreign policy,diplomacy,government,international relations,language,analysis,reporting,negotiation,consular,economic"
"Social Worker","social work,case management,counseling,assessment,intervention,mental health,child welfare,documentation,hipaa,community resources"
"Probation Officer","probation,case management,risk assessment,supervision,court,compliance,reporting,substance abuse,mental health,safety"
"Architect","revit,autocad,sketchup,bim,design development,construction documents,zoning,building code,leed,sustainability,project management"
"Interior Designer","revit,autocad,sketchup,ff&e,space planning,lighting design,material selection,client presentation,project management,leed,ncidq"
"Landscape Architect","land design,autocad,revit,rhino,gis,planting design,grading,drainage,construction documents,sustainability,leed,bim"
"Urban Designer","urban design,autocad,rhino,grasshopper,gis,arcgis,zoning,master plan,public space,pedestrian,transit oriented,sustainability"
"Interior Architect","interior architecture,revit,autocad,space planning,ff&e,bim,construction documents,building code,ada,commercial,residential"
"Graphic Designer","photoshop,illustrator,indesign,figma,brand identity,typography,logo design,layout design,color theory,print,digital,after effects"
"Illustrator","illustration,procreate,adobe illustrator,photoshop,character design,concept art,editorial,children's book,digital art,drawing"
"Art Director","art direction,creative concept,brand,campaigns,team management,photoshop,illustrator,indesign,typography,layout,production"
"Creative Director","creative strategy,brand,campaigns,team leadership,concept development,art direction,design,copy,photoshop,illustrator,presentations"
"Copywriter","copywriting,brand voice,advertising,campaigns,digital,social media,email,landing page,seo,headlines,cta,editing,proofreading"
"Content Creator","content creation,video,youtube,instagram,tiktok,podcast,editing,premiere pro,final cut,canva,social media,engagement,analytics"
"Video Editor","video editing,premiere pro,final cut pro,after effects,davinci resolve,color grading,sound design,motion graphics,storytelling"
"Photographer","photography,lightroom,photoshop,capture one,studio,lighting,composition,portrait,wedding,commercial,retouching,color grading"
"Videographer","videography,camera,premiere pro,final cut pro,after effects,lighting,color grading,storytelling,drone,documentary,commercial"
"Film Director","directing,cinematography,screenplay,production management,storyboard,editing,sound design,vfx,color grading,budget,crew management"
"Animator","animation,after effects,maya,blender,cinema 4d,rigging,character animation,2d animation,3d animation,motion design,storyboard"
"UX/UI Designer","figma,sketch,adobe xd,wireframing,prototyping,user research,usability testing,design thinking,accessibility,design system,motion"
"Fashion Designer","cad,clo 3d,pattern making,draping,textile,sourcing,garment construction,tech pack,sustainable fashion,trend,collection"
"Industrial Designer","solidworks,rhino,keyshot,alias,cad,product design,ergonomics,materials,manufacturing,prototyping,rendering,user centered"
"Interior Stylist","interior styling,mood board,sourcing,furniture,textiles,color palette,photography,staging,client,trend,presentation"
"Set Designer","set design,drafting,autocad,scenic design,prop,construction,painting,rendering,theatre,film,television,budget"
"Journalist","journalism,reporting,writing,editing,research,sources,fact checking,seo,cms,wordpress,social media,multimedia,interview"
"Editor","editing,proofreading,manuscript,publishing,content strategy,style guide,cms,wordpress,seo,team management,editorial calendar"
"Broadcast Journalist","broadcast journalism,presenting,reporting,scriptwriting,camera,editing,live,tv,radio,digital,social media,interview"
"Podcast Producer","podcast production,audio editing,audacity,adobe audition,logic pro,interviews,show notes,rss,distribution,spotify,apple podcasts"
"Social Media Manager","social media,content creation,instagram,tiktok,linkedin,twitter,facebook,youtube,canva,scheduling,hootsuite,analytics,engagement"
"Content Strategist","content strategy,seo,editorial,content marketing,audience,brand voice,data driven,analytics,cms,hubspot,wordpress"
"Hotel Manager","hotel management,hospitality,front desk,housekeeping,food beverage,revenue management,occupancy,pms,property management system,ops"
"Restaurant Manager","restaurant management,food service,food safety,haccp,inventory,cost control,staff management,scheduling,pos,customer service"
"Chef","culinary arts,cooking,menu development,recipe development,food safety,haccp,inventory,food cost,team management,catering,fine dining"
"Sous Chef","sous chef,kitchen management,cooking,plating,food safety,inventory,scheduling,training,menu,recipes,brigade"
"Pastry Chef","pastry,baking,confectionery,plating,dessert menu,chocolate,bread,decorating,food safety,cost control,kitchen management"
"Barista","coffee,espresso,latte,barista,customer service,pos,cleanliness,speed,milk steaming,specialty coffee,training"
"Sommelier","wine,sommelier,beverage management,tasting,food pairing,cellar,inventory,purchasing,staff training,hospitality,cws,cms"
"Food Safety Manager","food safety,haccp,servsafe,regulatory,audit,inspection,sop,training,temperature control,sanitation,complaint management"
"Event Manager","event management,planning,logistics,vendor management,budget,sponsorship,marketing,registration,venue,a/v,staffing,post event"
"Travel Agent","travel,itinerary,booking,gds,sabre,amadeus,hotel,airline,visa,customer service,packages,cruise,tour,negotiation"
"Tour Guide","tour guiding,tourism,history,culture,customer service,languages,itinerary,safety,group management,local knowledge"
"Real Estate Agent","mls,listings,buyer,seller,negotiation,transaction management,crm,market analysis,valuation,mortgage,closing,escrow,staging"
"Real Estate Developer","real estate development,land acquisition,zoning,entitlement,construction,finance,pro forma,npv,irr,investor relations,lp"
"Property Manager","property management,lease,tenant,maintenance,rent collection,yardi,appfolio,budget,vendor management,compliance,inspection"
"Mortgage Broker","mortgage,lending,underwriting,credit analysis,loan origination,nmls,compliance,fannie mae,freddie mac,rate,refinance"
"Real Estate Analyst","real estate analysis,financial modeling,pro forma,dcf,npv,irr,cap rate,noi,market research,comp analysis,argus"
"Commercial Real Estate Broker","commercial real estate,lease,sale,office,retail,industrial,multifamily,market analysis,valuation,negotiation,transaction"
"Supply Chain Analyst","supply chain,logistics,erp,sap,oracle,demand planning,s&op,inventory management,procurement,rfq,lean,six sigma,excel"
"Logistics Manager","logistics,supply chain,transportation,freight,3pl,warehouse management,distribution,last mile,tms,wms,erp,import export"
"Fleet Manager","fleet management,vehicles,maintenance,gps tracking,telematics,fuel management,driver management,compliance,dot,fmcsa,cost"
"Customs Broker","customs brokerage,import,export,tariff,hs code,cbp,fda,fcc,compliance,documentation,freight,logistics,trade compliance"
"Freight Broker","freight brokerage,trucking,load board,dat,truckstop,carrier,shipper,negotiation,tms,dispatch,rate,lane,fuel surcharge"
"Air Traffic Controller","air traffic control,atc,radar,communications,tower,terminal,en route,separation,navigation,faa,icao,phraseology"
"Pilot","flying,aircraft,faa,atpl,type rating,ifr,vfr,crm,dispatch,navigation,log book,airline,charter,corporate"
"Ship Captain","maritime,navigation,seamanship,stcw,certificates,vessel,crew management,cargo,customs,port,safety,imo,flag state"
"Agronomist","agronomy,crop science,soil science,fertilization,pest management,irrigation,gis,precision agriculture,yield,seed,crop production"
"Agricultural Engineer","agricultural engineering,irrigation,drainage,farm machinery,post-harvest,food processing,gis,sustainability,precision agriculture"
"Food Scientist","food science,food safety,quality control,haccp,gmp,sensory,formulation,shelf life,fda,regulatory,nutrition,processing"
"Winemaker","winemaking,viticulture,fermentation,harvest,sensory,blending,chemistry,barrel,cellar,quality control,sul fites,ava"
"Brewing Engineer","brewing,fermentation,quality control,chemistry,hops,malt,yeast,process engineering,packaging,fda,haccp,sensory"
"Sports Coach","coaching,athletic training,strength,conditioning,sport science,periodization,program design,video analysis,biomechanics,nutrition,recovery"
"Personal Trainer","personal training,fitness,strength training,cardio,nutrition,client assessment,program design,motivation,certifications,nasm,acsm"
"Athletic Trainer","athletic training,injury prevention,rehabilitation,first aid,taping,modalities,sport medicine,ncaa,certification,atc,ems"
"Sports Analyst","sports analytics,statistics,python,r,data visualization,tableau,sql,performance analysis,tracking data,video analysis,scouting"
"Fitness Manager","fitness management,gym,group exercise,personal training,sales,member retention,scheduling,budget,certifications,staff management"
"Yoga Instructor","yoga,asana,pranayama,meditation,anatomy,sequencing,cueing,alignment,adjustment,certification,ryt,200 hour,300 hour"
"Sports Physiotherapist","sports physiotherapy,musculoskeletal,rehabilitation,manual therapy,sports injury,athlete,return to sport,taping,exercise prescription"
"Electrician","electrical installation,wiring,circuit breaker,panel,conduit,nec,osha,testing,inspection,residential,commercial,industrial"
"Plumber","plumbing,pipe,installation,repair,soldering,pvc,copper,gas line,water heater,code,inspection,residential,commercial"
"HVAC Technician","hvac,air conditioning,heating,ventilation,refrigerant,epa 608,troubleshooting,maintenance,installation,residential,commercial"
"Welder","welding,mig,tig,stick,flux core,blueprint reading,metal,aluminum,stainless,quality,inspection,osha,certification"
"Carpenter","carpentry,framing,finish,cabinet making,woodworking,blueprint,tools,renovation,residential,commercial,safety,osha"
"Machinist","machining,cnc,lathe,mill,blueprint,tolerances,gd&t,quality,inspection,programming,fanuc,haas,solidworks,measurement"
"Construction Worker","construction,framing,concrete,masonry,safety,osha,blueprint reading,heavy equipment,scaffolding,site work,labor"
"Industrial Mechanic","industrial maintenance,mechanical,hydraulics,pneumatics,preventive maintenance,troubleshooting,plc,conveyor,pump,motor,bearing"
"Nonprofit Program Manager","program management,grant management,program evaluation,stakeholder engagement,budget,reporting,impact measurement,community"
"Grant Writer","grant writing,foundation,government grants,rfp,proposal,budget,reporting,stewardship,research,prospect,donor"
"Fundraising Manager","fundraising,donor relations,major gifts,annual fund,events,board,stewardship,database,raiser's edge,salesforce,campaign"
"Community Organizer","community organizing,grassroots,advocacy,coalition,canvassing,voter registration,training,mobilization,social media,campaign"
"Social Impact Analyst","social impact,impact measurement,theory of change,data analysis,program evaluation,stakeholder engagement,reporting,sustainability"
"NGO Project Manager","project management,ngo,international development,logframe,budget,donor reporting,monitoring evaluation,m&e,humanitarian"
"Strategy Consultant","strategy,market analysis,business development,competitive analysis,financial modeling,excel,powerpoint,stakeholder,executive"
"IT Consultant","it consulting,infrastructure,cloud,digital transformation,erp,sap,oracle,microsoft,project management,stakeholder management"
"Management Consulting Analyst","research,data analysis,excel,powerpoint,slides,client,presentations,financial modeling,market sizing,problem solving"
"Business Transformation Consultant","business transformation,change management,process improvement,lean,six sigma,erp,project management,stakeholder,digital"
"Music Producer","music production,daw,logic pro,ableton,fl studio,pro tools,mixing,mastering,arrangement,sound design,sampling,midi"
"Sound Engineer","audio engineering,pro tools,logic pro,ableton,mixing,mastering,recording,foley,adr,post production,5.1,dolby atmos"
"Sound Designer","sound design,foley,audio,pro tools,ableton,field recording,synthesis,middleware,wwise,fmod,game audio,film,tv"
"Podcast Host","podcasting,interviewing,storytelling,audio,editing,content strategy,rss,spotify,apple podcasts,audience growth,marketing"
"Game Audio Designer","game audio,wwise,fmod,sound design,music,implementation,middleware,unity,unreal,adaptive music,sfx,ambience"
"VFX Artist","visual effects,nuke,houdini,maya,3ds max,compositing,particle effects,simulation,rendering,rotoscoping,tracking,film"
"Motion Graphics Designer","motion graphics,after effects,cinema 4d,blender,premiere,animation,typography,storyboard,creative direction,branding"
"Executive Assistant","executive support,calendar management,travel coordination,correspondence,meeting management,project coordination,confidentiality,ms office,zoom,slack"
"Administrative Manager","office management,administration,budget,vendor management,procurement,hr coordination,executive support,ms office,reporting"
"Operations Analyst","operations,process improvement,data analysis,excel,sql,reporting,kpi,project coordination,stakeholder management,lean"
"Executive Recruiter","executive search,headhunting,c-suite,vp,director,sourcing,assessment,linkedin,networking,negotiation,offer management"
"Management Consultant","consulting,strategy,operations,stakeholder,excel,powerpoint,financial analysis,recommendations,presentations,client"
"Business Operations Manager","business operations,process improvement,efficiency,kpi,reporting,budget,vendor management,stakeholder,project management,erp"
"Chief of Staff","chief of staff,executive,strategy,operations,priorities,communication,project management,stakeholder,okr,cross functional"
"Strategy Manager","strategy,business analysis,market analysis,competitive intelligence,excel,powerpoint,executive,okr,roadmap,financial modeling"
"Change Management Consultant","change management,prosci,adkar,stakeholder,communication,training,adoption,transformation,project management,leadership"
"API Developer","rest api,graphql,grpc,openapi,swagger,postman,authentication,oauth2,jwt,rate limiting,versioning,documentation,python,node.js,java,go"
"Microservices Architect","microservices,domain driven design,ddd,event driven,cqrs,event sourcing,api gateway,service mesh,istio,kubernetes,docker,kafka"
