Job_Title,Category,Domain,Job_Description,Skills,Keywords,Domain_Signals,Sample_Resume
Materials Scientist,Materials Scientist,Engineering,"Characterise and develop advanced materials using XRD, SEM, TEM, and spectroscopy. Conduct failure analysis, develop polymer/composite materials, and model material properties.",materials science characterization sem tem xrd mechanical testing metallurgy composites failure analysis,"materials science,characterization,sem,tem,xrd,mechanical testing,metallurgy,composites,failure analysis,polymer,ceramic,coating","materials science,xrd,sem,tem,spectroscopy,polymer,composites,metallurgy,failure analysis","Materials Scientist with XRD, SEM/TEM, spectroscopy, polymer/composites, metallurgy, failure analysis, and materials modelling expertise."
Systems Engineer,Systems Engineer,General,systems engineer skills experience responsibilities and industry knowledge,systems engineering mbse cameo sysml requirements architecture verification validation se process,"systems engineering,mbse,cameo,sysml,requirements,architecture,interface,verification,validation,v&v,se process,stakeholder",,experienced professional with skills in systems engineer related tools technologies and responsibilities
Solution Architect,Solution Architect,General,solution architect skills experience responsibilities and industry knowledge,system design microservices cloud architecture aws azure gcp enterprise architecture uml diagrams stakeholder management,"system design,microservices,cloud architecture,aws,azure,gcp,enterprise architecture,uml,stakeholder management","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless",experienced professional with skills in solution architect related tools technologies and responsibilities
Infrastructure Manager,Infrastructure Manager,General,infrastructure manager skills experience responsibilities and industry knowledge,aws azure gcp terraform ansible kubernetes docker ci/cd monitoring grafana prometheus networking security,"aws,azure,gcp,terraform,ansible,kubernetes,docker,ci/cd,monitoring,grafana,prometheus,networking,security","docker, kubernetes, k8s, helm, ci/cd, ci cd, jenkins, github actions, gitlab ci, circleci, argocd, terraform, ansible, puppet, chef, linux, bash, shell scripting, aws, gcp, azure, cloudformation, cdk, pulumi, nginx, haproxy, prometheus, grafana, datadog, new relic, splunk, elk stack, elasticsearch, logstash, kibana, infrastructure as code, iac, gitops, devops, platform engineering, sre, site reliability, on-call, incident management, postmortem, chaos engineering, load balancing, auto scaling, high availability, disaster recovery",experienced professional with skills in infrastructure manager related tools technologies and responsibilities
Technical Lead,Technical Lead,General,technical lead skills experience responsibilities and industry knowledge,system design code review mentoring agile sprint planning architecture microservices api design team leadership,"system design,code review,mentoring,agile,sprint planning,architecture,microservices,api design,team leadership","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless",experienced professional with skills in technical lead related tools technologies and responsibilities
Engineering Manager,Engineering Manager,Software Engineering,"Lead engineering teams to deliver product goals. Manage hiring, performance, roadmap planning, and stakeholder communication while maintaining technical excellence.",team leadership hiring performance review roadmap engineering strategy agile delivery,"team leadership,hiring,performance review,1on1,roadmap,engineering strategy,agile,scrum,stakeholder management,delivery,okr,metrics","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless","Engineering Manager with people management, agile delivery, roadmap planning, OKRs, hiring, and engineering leadership expertise."
Chief Technology Officer,Chief Technology Officer,General,chief technology officer skills experience responsibilities and industry knowledge,technology strategy leadership team building product roadmap system architecture cloud enterprise digital transformation,"technology strategy,leadership,team building,product roadmap,architecture,cloud,enterprise,digital transformation","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless",experienced professional with skills in chief technology officer related tools technologies and responsibilities
Web Developer,Web Developer,General,web developer skills experience responsibilities and industry knowledge,html css javascript react php wordpress nodejs rest api responsive design mysql,"html,css,javascript,react,php,wordpress,nodejs,rest api,responsive design,seo,git,ftp,cpanel,mysql,bootstrap",,experienced professional with skills in web developer related tools technologies and responsibilities
UI/UX Designer,UI/UX Designer,Design,"Design user-centred experiences through research, wireframing, prototyping, and usability testing. Build design systems in Figma, ensure WCAG accessibility.",figma sketch wireframing prototyping user research usability testing design thinking wcag design system,"figma,sketch,adobe xd,wireframing,prototyping,user research,usability testing,design thinking,design sprint,information architecture,accessibility,wcag,design system,component library,motion design","figma,sketch,adobe xd,user research,wireframing,prototyping,usability testing,design systems,wcag","UI/UX Designer skilled in Figma, user research, wireframing, prototyping, usability testing, design systems, and WCAG accessibility."
Interaction Designer,Interaction Designer,General,interaction designer skills experience responsibilities and industry knowledge,interaction design hci wireframing prototyping user flow animation micro interaction accessibility figma,"interaction design,hci,wireframing,prototyping,user flow,information architecture,animation,micro interaction,accessibility,figma,framer,principle,protopie",,experienced professional with skills in interaction designer related tools technologies and responsibilities
Product Designer,Product Designer,Design,product designer skills experience responsibilities and industry knowledge,product design ux ui figma wireframing prototyping user research design system accessibility,"product design,ux,ui,figma,wireframing,prototyping,user research,design thinking,design system,component library,accessibility,data informed,a/b testing,cross functional","figma, sketch, adobe xd, invision, wireframe, prototype, user research, usability testing, ux research, design thinking, design sprint, user persona, journey mapping, information architecture, accessibility, design system, component library, responsive design, motion design, interaction design, visual design, ui design, ux design, product design, service design",experienced professional with skills in product designer related tools technologies and responsibilities
Digital Forensics Analyst,Digital Forensics Analyst,General,digital forensics analyst skills experience responsibilities and industry knowledge,digital forensics memory forensics disk imaging encase ftk autopsy volatility malware analysis,"digital forensics,memory forensics,disk imaging,encase,ftk,autopsy,volatility,malware analysis,reverse engineering,incident response,chain of custody,yara",,experienced professional with skills in digital forensics analyst related tools technologies and responsibilities
Wireless Engineer,Wireless Engineer,Telecommunications,"Design wireless network systems, plan spectrum and RF coverage, model signal propagation, and optimise 5G/LTE network performance.",5g lte 4g rf engineering antenna design spectrum analysis network planning matlab signal processing,"5g,lte,4g,rf engineering,antenna design,spectrum analysis,network planning,matlab,signal processing,wireless","5g, bgp ospf","Wireless Engineer with 5G/LTE, RF engineering, antenna design, spectrum analysis, MATLAB signal processing, and propagation modelling expertise."
Telecom Specialist,Telecom Specialist,Telecommunications,"Manage telecom network operations, configure SIP/IMS systems, integrate BSS/OSS platforms, and optimise VoIP and 5G service delivery.",5g voip sip ims telecom protocols network management bss oss billing systems integration,"5g,voip,sip,ims,telecom protocols,network management,bss,oss,billing systems,integration,telecom","5g, bgp ospf","Telecom Specialist with 5G, VoIP, SIP/IMS, BSS/OSS, billing systems integration, and network management expertise."
Satellite Engineer,Satellite Engineer,General,satellite engineer skills experience responsibilities and industry knowledge,satellite orbit telemetry attitude control power systems thermal gps link budget ground station,"satellite,orbit,telemetry,attitude control,power systems,thermal,structure,gps,link budget,ground station,space systems",,experienced professional with skills in satellite engineer related tools technologies and responsibilities
Optical Engineer,Optical Engineer,General,optical engineer skills experience responsibilities and industry knowledge,optics laser photonics zemax oslo optical design fiber optics imaging spectroscopy lens testing,"optics,laser,photonics,zemax,oslo,optical design,fiber optics,imaging,spectroscopy,lens,testing,measurement",,experienced professional with skills in optical engineer related tools technologies and responsibilities
Mechatronics Engineer,Mechatronics Engineer,General,mechatronics engineer skills experience responsibilities and industry knowledge,mechatronics embedded c matlab simulink plc scada motor control sensors pid control systems automation,"mechatronics,embedded,c,c++,matlab,simulink,plc,scada,hmi,motor control,sensors,actuators,pid,control systems,automation",,experienced professional with skills in mechatronics engineer related tools technologies and responsibilities
Marine Engineer,Marine Engineer,General,marine engineer skills experience responsibilities and industry knowledge,marine engineering propulsion diesel engines maintenance vessel class survey dnv watchkeeping,"marine engineering,propulsion,diesel engines,maintenance,sea going,vessel,class survey,dnv,bv,classification,watchkeeping",,experienced professional with skills in marine engineer related tools technologies and responsibilities
Mining Engineer,Mining Engineer,General,mining engineer skills experience responsibilities and industry knowledge,mining open pit underground blast design ventilation mine planning autocad vulcan safety osha msha,"mining,open pit,underground,blast design,ventilation,mine planning,autocad,vulcan,surpac,safety,osha,msha,environmental",,experienced professional with skills in mining engineer related tools technologies and responsibilities
Geotechnical Engineer,Geotechnical Engineer,General,geotechnical engineer skills experience responsibilities and industry knowledge,geotechnical soil mechanics foundation pile retaining wall slope stability settlement laboratory bore hole,"geotechnical,soil mechanics,foundation,pile,retaining wall,slope stability,settlement,laboratory testing,field investigation,bore hole",,experienced professional with skills in geotechnical engineer related tools technologies and responsibilities
Hydrographic Surveyor,Hydrographic Surveyor,Geospatial & Surveying,"Conduct hydrographic surveys using multibeam sonar and GNSS. Process bathymetric data with CARIS, produce nautical charts, and manage GIS data pipelines.",sonar multibeam bathymetry gnss gps autocad hydrographic survey nautical charts arcgis qgis caris python data processing,"sonar,multibeam,bathymetry,gnss,gps,autocad,hydrographic survey,nautical charts,arcgis,qgis,caris","sonar,bathymetry,gnss,hydrographic survey,nautical charts,caris,arcgis","Hydrographic Surveyor with multibeam sonar, GNSS, CARIS, bathymetry processing, nautical charting, and ArcGIS expertise."
Reliability Engineer,Reliability Engineer,General,reliability engineer skills experience responsibilities and industry knowledge,reliability fmea fta weibull maintainability rcm root cause analysis sop kpi predictive maintenance,"reliability,fmea,fta,weibull,maintainability,maintenance strategy,rcm,root cause analysis,rca,sop,kpi,predictive maintenance",,experienced professional with skills in reliability engineer related tools technologies and responsibilities
Safety Engineer,Safety Engineer,General,safety engineer skills experience responsibilities and industry knowledge,safety engineering hazop pha fmea fault tree risk assessment osha process safety atex iec 61508,"safety engineering,hazop,pha,fmea,fault tree,risk assessment,osha,iso 45001,process safety,atex,iec 61508",,experienced professional with skills in safety engineer related tools technologies and responsibilities
Quality Control Engineer,Quality Control Engineer,General,quality control engineer skills experience responsibilities and industry knowledge,quality management iso 9001 six sigma statistical process control inspection testing documentation lean manufacturing,"quality management,iso 9001,six sigma,statistical process control,inspection,testing,lean manufacturing,documentation","cad, solidworks, autocad, catia, ansys, matlab, simulink, finite element analysis, fea, cfd, computational fluid dynamics, pcb, circuit design, plc, scada, manufacturing, lean, six sigma, tolerancing, gd&t, thermodynamics, fluid mechanics, structural analysis, materials science, ros, robotics, kinematics, dynamics, control systems, pid controller",experienced professional with skills in quality control engineer related tools technologies and responsibilities
Manufacturing Engineer,Manufacturing Engineer,Engineering,"Design and optimise manufacturing processes, manage CNC programmes, develop DFMEAs/PFMEAs, ensure quality control, and drive lean/six sigma improvements.",manufacturing cnc lean manufacturing six sigma jig fixture solidworks quality gd&t process improvement,"manufacturing,cnc,lean manufacturing,six sigma,kaizen,jig,fixture,tooling,solidworks,autocad,quality,gd&t,dfm,process improvement","manufacturing processes,cnc,gd&t,process planning,dfmea,pfmea,lean,six sigma,erp","Manufacturing Engineer with CNC, SolidWorks, GD&T, DFMEA/PFMEA, process planning, lean/six sigma, ERP/SAP, and quality control expertise."
Process Engineer,Process Engineer,General,process engineer skills experience responsibilities and industry knowledge,process engineering p&id hazop aspen plus piping pressure vessel heat exchanger safety commissioning,"process engineering,p&id,hazop,aspen plus,piping,pressure vessel,heat exchanger,pump,compressor,safety,commissioning,troubleshooting",,experienced professional with skills in process engineer related tools technologies and responsibilities
Tooling Engineer,Tooling Engineer,Engineering,"Design and develop tooling for die casting and injection moulding. Conduct FEA analysis, manage GD&T, and optimise CNC manufacturing processes.",solidworks autocad cnc tooling design die casting injection moulding fea tolerance analysis gdandt manufacturing process improvement materials selection,"solidworks,autocad,cnc,tooling design,die casting,injection moulding,fea,gd&t,manufacturing,materials selection","solidworks,cnc,tooling design,die casting,injection moulding,fea,gd&t","Tooling Engineer with SolidWorks, CNC, die casting, injection moulding, FEA, and GD&T expertise."
Layout Engineer,Layout Engineer,Engineering,"Perform IC physical design including floorplanning, place and route, timing closure, and DRC/LVS sign-off using Cadence and Synopsys tools.",vlsi cadence synopsys physical design place and route floorplanning timing closure power analysis sta drc lvs calibre,"vlsi,cadence,synopsys,physical design,place and route,floorplanning,timing closure,sta,drc,lvs,calibre","vlsi,cadence,synopsys,physical design,floorplanning,timing closure,sta,drc,lvs,calibre","Layout Engineer with VLSI, Cadence, Synopsys, physical design, place and route, timing closure, STA, and DRC/LVS expertise."
Validation Engineer,Validation Engineer,General,validation engineer skills experience responsibilities and industry knowledge,validation iq oq pq gmp fda csv computer system validation protocol report change control pharmaceutical,"validation,iq,oq,pq,gmp,fda,csv,computer system validation,protocol,report,change control,pharmaceutical",,experienced professional with skills in validation engineer related tools technologies and responsibilities
Simulation Engineer,Simulation Engineer,General,simulation engineer skills experience responsibilities and industry knowledge,simulation matlab simulink ansys comsol openfoam gazebo ros python c++ modeling validation digital twin,"simulation,matlab,simulink,ansys,comsol,openfoam,gazebo,ros,python,c++,modeling,validation,digital twin",,experienced professional with skills in simulation engineer related tools technologies and responsibilities
Computational Biologist,Computational Biologist,General,computational biologist skills experience responsibilities and industry knowledge,computational biology python r bioinformatics genomics proteomics machine learning sequence analysis,"computational biology,python,r,bioinformatics,genomics,proteomics,machine learning,sequence analysis,structural biology",,experienced professional with skills in computational biologist related tools technologies and responsibilities
Bioinformatician,Bioinformatician,Bioinformatics & Life Sciences,"Analyse genomic/transcriptomic datasets, implement RNA-seq workflows with STAR/DESeq2, variant calling with GATK, and build Nextflow/Snakemake bioinformatics pipelines.",bioinformatics python r perl ngs genomics transcriptomics variant calling blast bwa,"bioinformatics,python,r,perl,next generation sequencing,ngs,genomics,transcriptomics,proteomics,snp,variant calling,blast,bwa","bioconductor,biopython,blast,nextflow,snakemake,rna seq,genome assembly,variant calling,gatk,samtools","Bioinformatician with Python, R, Bioconductor, RNA-seq, GATK variant calling, Nextflow, Snakemake, and genomic data analysis expertise."
Cheminformatician,Cheminformatician,Bioinformatics & Life Sciences,"Apply computational chemistry for drug discovery. Use RDKit for molecular modelling, build QSAR models, perform virtual screening, and analyse chemical datasets.",python rdkit chemoinformatics molecular modelling qsar virtual screening drug discovery pandas scikit-learn jupyter bioinformatics sql,"python,rdkit,chemoinformatics,molecular modelling,qsar,virtual screening,drug discovery,pandas,scikit-learn","rdkit,chemoinformatics,molecular modelling,qsar,virtual screening,drug discovery","Cheminformatician with Python, RDKit, molecular modelling, QSAR, virtual screening, and drug discovery analytics expertise."
Physicist,Physicist,General,physicist skills experience responsibilities and industry knowledge,physics quantum mechanics simulation matlab python data analysis optics laser experimental publications,"physics,quantum mechanics,simulation,matlab,python,fortran,data analysis,optics,laser,experimental,theoretical,publications",,experienced professional with skills in physicist related tools technologies and responsibilities
Astrophysicist,Astrophysicist,Research & Science,"Analyse telescope datasets and model astrophysical phenomena using Python/Astropy. Run HPC simulations with MPI, apply signal processing, and publish peer-reviewed research.",python fortran matlab numerical methods data analysis cosmology signal processing telescope data hpc mpi parallel computing scipy numpy astropy,"python,fortran,matlab,numerical methods,cosmology,signal processing,hpc,mpi,scipy,numpy,astropy","python,astropy,cosmology,signal processing,hpc,mpi,numerical methods","Astrophysicist with Python, Astropy, cosmology modelling, signal processing, HPC/MPI, and scientific research expertise."
Meteorologist,Meteorologist,Environmental Science,"Develop numerical weather prediction models, analyse atmospheric datasets in NetCDF/GRIB formats, produce climate reports, and visualise forecasts with GIS tools.",python r grib netcdf numerical weather prediction climate modelling gis arcgis atmospheric science data analysis tableau matlab,"python,r,grib,netcdf,numerical weather prediction,climate modelling,gis,arcgis,atmospheric science,tableau,matlab","grib,netcdf,numerical weather prediction,climate modelling,atmospheric science,arcgis","Meteorologist with Python, R, NWP modelling, NetCDF/GRIB, climate analysis, ArcGIS, and atmospheric science expertise."
Geologist,Geologist,Environmental Science,"Conduct geological field surveys, map rock formations, analyse geochemical data, use remote sensing with GIS/ArcGIS, and produce geological reports for exploration projects.",geology gis arcgis remote sensing field work sampling stratigraphy petrology mineralogy seismic,"geology,gis,arcgis,remote sensing,field work,sampling,stratigraphy,petrology,mineralogy,geochemistry,core logging,seismic","geology,gis,arcgis,rock classification,field mapping,geochemistry,remote sensing,petrology","Geologist with geology, GIS/ArcGIS, field mapping, geochemistry, remote sensing, petrology, and geological report writing expertise."
Seismologist,Seismologist,General,seismologist skills experience responsibilities and industry knowledge,seismology earthquake seismic network waveform analysis matlab python gis real-time monitoring,"seismology,earthquake,seismic network,waveform analysis,matlab,python,gis,real-time monitoring,report,research,publications",,experienced professional with skills in seismologist related tools technologies and responsibilities
Volcanologist,Volcanologist,General,volcanologist skills experience responsibilities and industry knowledge,volcanology field work geochemistry seismology remote sensing gis gas measurement eruption monitoring,"volcanology,field work,geochemistry,seismology,remote sensing,gis,gas measurement,lava,eruption monitoring,publications",,experienced professional with skills in volcanologist related tools technologies and responsibilities
Microbiologist,Microbiologist,General,microbiologist skills experience responsibilities and industry knowledge,microbiology cell culture pcr sequencing bacteria fungi antimicrobial biosafety aseptic technique,"microbiology,cell culture,pcr,sequencing,bacteria,fungi,antimicrobial,biosafety,aseptic technique,growth curves,genotyping",,experienced professional with skills in microbiologist related tools technologies and responsibilities
Geneticist,Geneticist,General,geneticist skills experience responsibilities and industry knowledge,genetics genomics ngs variant calling python r bioinformatics crispr pcr gwas population genetics,"genetics,genomics,ngs,variant calling,python,r,bioinformatics,crispr,pcr,snp,gwas,population genetics,clinical genetics",,experienced professional with skills in geneticist related tools technologies and responsibilities
Neuroscientist,Neuroscientist,General,neuroscientist skills experience responsibilities and industry knowledge,neuroscience electrophysiology eeg fmri python matlab data analysis animal models publications,"neuroscience,electrophysiology,eeg,fmri,python,matlab,r,data analysis,animal models,cell culture,publications,grant writing",,experienced professional with skills in neuroscientist related tools technologies and responsibilities
Pharmacologist,Pharmacologist,Healthcare Technology,"Conduct pharmacokinetic/pharmacodynamic studies, analyse clinical trial data, ensure FDA compliance, and contribute to drug discovery and regulatory submissions.",pharmacokinetics pharmacodynamics drug discovery clinical trials python r spss statistical analysis lab research fda compliance sas,"pharmacokinetics,pharmacodynamics,drug discovery,clinical trials,python,r,spss,statistical analysis,fda compliance,sas","pharmacokinetics,pharmacodynamics,drug discovery,clinical trials,fda compliance,statistical analysis","Pharmacologist with pharmacokinetics, pharmacodynamics, drug discovery, clinical trial analysis, FDA compliance, R/Python, and SPSS expertise."
Toxicologist,Toxicologist,General,toxicologist skills experience responsibilities and industry knowledge,toxicology in vitro in vivo ld50 dose response regulatory fda echa reach gmp glp safety assessment,"toxicology,in vitro,in vivo,ld50,dose response,regulatory,fda,echa,reach,gmp,glp,safety assessment,risk assessment",,experienced professional with skills in toxicologist related tools technologies and responsibilities
Immunologist,Immunologist,General,immunologist skills experience responsibilities and industry knowledge,immunology flow cytometry elisa antibody t cell b cell cytokines western blot crispr assay development,"immunology,flow cytometry,elisa,antibody,t cell,b cell,cytokines,western blot,mouse models,crispr,cell culture,assay development",,experienced professional with skills in immunologist related tools technologies and responsibilities
Laboratory Technician,Laboratory Technician,Healthcare Technology,"Perform PCR, ELISA, western blot, and microscopy assays. Maintain quality control, ensure COSHH compliance, and document laboratory results accurately.",laboratory techniques pcr elisa western blot microscopy sample preparation quality control lab safety coshh documentation python excel,"pcr,elisa,western blot,microscopy,sample preparation,quality control,lab safety,coshh,documentation,excel","pcr,elisa,western blot,microscopy,quality control,lab safety,coshh","Laboratory Technician skilled in PCR, ELISA, western blot, microscopy, quality control, COSHH compliance, and lab documentation."
Surgeon,Surgeon,Healthcare Technology,"Perform surgical procedures in the operating theatre, conduct pre/post-operative assessments, lead surgical teams, and maintain clinical documentation.",surgery laparoscopic robotic surgery anatomy perioperative patient care icu critical care wound care,"surgery,laparoscopic,robotic surgery,anatomy,perioperative,patient care,icu,critical care,complications,wound care,sterility,operating room","surgical procedures,operating theatre,anatomy,pre-operative care,post-operative care,medical documentation","Surgeon with surgical procedures, operating theatre, anatomy, pre/post-operative care, team leadership, and EMR documentation expertise."
Physician,Physician,General,physician skills experience responsibilities and industry knowledge,diagnosis treatment clinical medicine ehr epic icd cpt patient care pharmacology differential diagnosis,"diagnosis,treatment,clinical medicine,internal medicine,ehr,epic,cerner,icd,cpt,patient care,pharmacology,evidence based medicine,differential diagnosis",,experienced professional with skills in physician related tools technologies and responsibilities
Cardiologist,Cardiologist,Healthcare Technology,"Diagnose and treat cardiovascular conditions. Perform ECG/echocardiography, conduct cardiac catheterisations, manage heart failure, and document clinical outcomes.",cardiology ecg echocardiogram cardiac catheterization heart failure arrhythmia interventional stent,"cardiology,ecg,echocardiogram,cardiac catheterization,heart failure,arrhythmia,electrophysiology,interventional cardiology,stent,ablation","cardiology,ecg,echocardiography,cardiac catheterisation,interventional cardiology,heart failure","Cardiologist with cardiology, ECG/echocardiography, cardiac catheterisation, interventional cardiology, heart failure management, and clinical documentation expertise."
Neurologist,Neurologist,Healthcare Technology,"Diagnose and treat neurological disorders including stroke, epilepsy, and movement disorders. Interpret EEG/EMG results, review MRI imaging, and manage complex patient care.",neurology mri ct eeg emg stroke seizure multiple sclerosis parkinson neuroimaging clinical trials,"neurology,mri,ct,eeg,emg,stroke,seizure,multiple sclerosis,parkinson,alzheimer,lumbar puncture,neuroimaging,clinical trials","neurology,eeg,emg,mri interpretation,stroke management,epilepsy management,clinical assessment","Neurologist with neurology, EEG/EMG interpretation, MRI analysis, stroke/epilepsy management, clinical assessment, and EMR documentation expertise."
Dermatologist,Dermatologist,Healthcare Technology,"Diagnose and treat skin conditions including acne, eczema, and psoriasis. Perform biopsies, dermoscopy, phototherapy, and cosmetic dermatology procedures.",dermatology skin biopsy mohs surgery laser acne psoriasis eczema melanoma phototherapy dermoscopy,"dermatology,skin,biopsy,mohs surgery,laser,cosmetic,acne,psoriasis,eczema,melanoma,phototherapy,dermoscopy","dermatology,skin biopsy,dermoscopy,phototherapy,cosmetic dermatology","Dermatologist with dermatology, skin biopsy, dermoscopy, phototherapy, cosmetic dermatology, and clinical documentation expertise."
Oncologist,Oncologist,Healthcare Technology,"Diagnose and treat cancer using chemotherapy, radiotherapy, targeted therapy, and immunotherapy. Participate in tumour boards, lead clinical trials, and manage complex oncology patients.",oncology chemotherapy radiation immunotherapy targeted therapy cancer staging clinical trials pathology,"oncology,chemotherapy,radiation,immunotherapy,targeted therapy,cancer staging,clinical trials,pathology,hematology,bone marrow","oncology,chemotherapy,radiotherapy,targeted therapy,immunotherapy,clinical trials","Oncologist with oncology, chemotherapy, radiotherapy, targeted therapy, immunotherapy, clinical trial leadership, and multidisciplinary team expertise."
Pediatrician,Pediatrician,General,pediatrician skills experience responsibilities and industry knowledge,pediatrics child health vaccination growth development ehr immunization well child visit nicu,"pediatrics,child health,vaccination,growth development,ehr,epic,immunization,well child visit,nicu,pediatric emergency",,experienced professional with skills in pediatrician related tools technologies and responsibilities
Psychiatrist,Psychiatrist,Healthcare Technology,"Diagnose and treat psychiatric disorders using DSM-5 criteria. Prescribe pharmacotherapy, deliver psychotherapy, manage inpatient/outpatient care, and maintain EMR documentation.",psychiatry dsm-5 psychopharmacology cbt dbt medication management inpatient mental health diagnosis,"psychiatry,dsm-5,psychopharmacology,cbt,dbt,medication management,inpatient,outpatient,mental health,diagnosis,treatment plan","psychiatric assessment,dsm-5,pharmacotherapy,psychotherapy,medication management,clinical documentation","Psychiatrist with DSM-5, pharmacotherapy, psychotherapy, psychiatric assessment, medication management, and clinical documentation expertise."
Anesthesiologist,Anesthesiologist,General,anesthesiologist skills experience responsibilities and industry knowledge,anesthesia general anesthesia regional anesthesia airway management mechanical ventilation perioperative,"anesthesia,general anesthesia,regional anesthesia,airway management,mechanical ventilation,critical care,perioperative,pain management",,experienced professional with skills in anesthesiologist related tools technologies and responsibilities
Radiologist,Radiologist,Healthcare Technology,"Interpret medical imaging including MRI, CT, and ultrasound. Produce radiology reports, use PACS/DICOM systems, and leverage AI-assisted diagnostic tools.",radiology mri ct ultrasound x-ray pacs ris reporting interpretation anatomy ai radiology,"radiology,mri,ct,ultrasound,x-ray,pacs,ris,reporting,interpretation,anatomy,clinical correlation,ai radiology,structured reporting","medical imaging,mri,ct,x-ray,pacs,dicom,radiology reporting,interventional radiology","Radiologist with medical imaging, MRI/CT/X-ray, PACS/DICOM, radiology reporting, interventional radiology, and AI-assisted diagnosis expertise."
Pathologist,Pathologist,Healthcare Technology,"Examine histopathology and cytology specimens, report diagnoses, perform immunohistochemistry, and contribute to digital pathology workflows using HL7-integrated systems.",histopathology cytology biopsy microscopy immunohistochemistry mdm clinical reporting anatomical pathology digital pathology hl7 epic,"histopathology,cytology,biopsy,microscopy,immunohistochemistry,clinical reporting,anatomical pathology,digital pathology,hl7,epic","histopathology,cytology,immunohistochemistry,digital pathology,hl7,epic","Pathologist with histopathology, cytology, immunohistochemistry, digital pathology, HL7/Epic integration, and clinical reporting expertise."
Registered Nurse,Registered Nurse,Healthcare Technology,"Deliver holistic patient care including clinical assessments, medication administration, wound management, and accurate EMR/Epic documentation in acute and community settings.",nursing icu critical care medications patient care ehr epic vital signs assessment documentation acls bls,"nursing,icu,critical care,medications,patient care,ehr,epic,vital signs,assessment,documentation,care plan,acls,bls","patient care,clinical assessment,medication administration,wound care,emr,epic,hl7,bls,acls","Registered Nurse with patient care, clinical assessment, medication administration, wound care, Epic/HL7 EMR, BLS/ACLS, and infection control expertise."
Pharmacist,Pharmacist,Healthcare Technology,"Dispense medications, conduct clinical pharmacy reviews, counsel patients on drug interactions, monitor pharmacovigilance data, and ensure regulatory compliance.",pharmacy dispensing medications pharmacokinetics drug interaction patient counseling ehr clinical pharmacy bcps,"pharmacy,dispensing,medications,pharmacokinetics,drug interaction,patient counseling,ehr,clinical pharmacy,formulary,vaccination,bcps","pharmaceutical care,drug dispensing,clinical pharmacy,medication review,pharmacovigilance,regulatory compliance","Pharmacist with pharmaceutical care, drug dispensing, clinical pharmacy, medication review, pharmacovigilance, and regulatory compliance expertise."
Physiotherapist,Physiotherapist,Healthcare Technology,"Assess and treat musculoskeletal conditions through manual therapy and exercise prescription. Document outcomes in EMR systems, deliver telehealth consultations, and track patient progress.",musculoskeletal rehabilitation manual therapy exercise prescription patient assessment clinical documentation emr telehealth physiotherapy outcome measures,"musculoskeletal rehabilitation,manual therapy,exercise prescription,patient assessment,clinical documentation,emr,telehealth,outcome measures","musculoskeletal rehabilitation,manual therapy,exercise prescription,patient assessment,emr,telehealth","Physiotherapist with musculoskeletal rehabilitation, manual therapy, exercise prescription, EMR documentation, telehealth, and patient outcome tracking expertise."
Dietitian,Dietitian,Healthcare Technology,"Conduct nutritional assessments, develop therapeutic dietary plans, counsel patients on evidence-based nutrition, and document outcomes in EMR systems.",dietitian nutrition clinical nutrition medical nutrition therapy enteral parenteral ehr counseling,"dietitian,nutrition,clinical nutrition,medical nutrition therapy,enteral,parenteral,ehr,epic,counseling,diabetes,renal","nutritional assessment,dietary planning,clinical nutrition,therapeutic diets,patient counselling,evidence-based practice","Dietitian with nutritional assessment, dietary planning, clinical nutrition, therapeutic diets, patient counselling, and evidence-based practice expertise."
Nutritionist,Nutritionist,General,nutritionist skills experience responsibilities and industry knowledge,nutrition clinical diet meal planning counseling supplements eating disorders diabetes weight management,"nutrition,clinical nutrition,diet,meal planning,counseling,supplements,eating disorders,diabetes,weight management,rnc",,experienced professional with skills in nutritionist related tools technologies and responsibilities
