"Job_Title","Skills"
"Astronomer","astronomy astrophysics telescope imaging spectroscopy python astropy data reduction publications nasa"
"Marine Biologist","marine biology field work scuba sampling species identification ecology oceanography gis data analysis"
"Statistician","statistics r python sas stata regression anova bayesian experimental design monte carlo simulation"
"Psychologist","psychology cbt dbt assessment diagnosis mental health research publications supervision clinical"
"Epidemiologist","epidemiology biostatistics r stata clinical trials cohort study systematic review meta analysis surveillance"
"Neuroscientist","neuroscience electrophysiology eeg fmri python matlab data analysis animal models publications"
"Geneticist","genetics genomics ngs variant calling python r bioinformatics crispr pcr gwas population genetics"
"Policy Analyst","policy research legislation government stakeholder analysis cost benefit analysis report writing"
"Urban Planner","gis arcgis land use zoning transportation planning environmental review community engagement sustainability"
"Government Affairs Manager","government affairs lobbying regulatory legislation policy advocacy coalition stakeholder reporting"
"Intelligence Analyst","intelligence analysis osint geospatial reporting databases threat assessment python sql"
"Foreign Service Officer","foreign policy diplomacy government international relations language analysis reporting negotiation"
"Social Worker","social work case management counseling assessment intervention mental health child welfare documentation"
"Probation Officer","probation case management risk assessment supervision court compliance reporting substance abuse"
"Architect","revit autocad sketchup bim design development construction documents zoning building code leed sustainability"
"Interior Designer","revit autocad sketchup ff&e space planning lighting design material selection project management leed"
"Landscape Architect","land design autocad revit gis planting design grading drainage construction documents sustainability leed"
"Urban Designer","urban design autocad rhino gis zoning master plan public space pedestrian transit sustainability"
"Interior Architect","interior architecture revit autocad space planning ff&e bim construction documents building code ada"
"Graphic Designer","photoshop illustrator indesign figma brand identity typography logo design color theory print digital"
"Illustrator","illustration procreate adobe illustrator photoshop character design concept art editorial digital art"
"Art Director","art direction creative concept brand campaigns team management photoshop illustrator indesign typography"
"Creative Director","creative strategy brand campaigns team leadership concept development art direction design presentations"
"Copywriter","copywriting brand voice advertising campaigns digital social media email landing page seo headlines"
"Content Creator","content creation video youtube instagram tiktok editing premiere pro canva social media analytics"
"Video Editor","video editing premiere pro final cut after effects davinci resolve color grading sound design"
"Photographer","photography lightroom photoshop studio lighting composition portrait wedding commercial retouching"
"Videographer","videography camera premiere pro final cut after effects lighting color grading drone documentary"
"Film Director","directing cinematography screenplay production storyboard editing sound design vfx color grading budget"
"Animator","animation after effects maya blender cinema 4d rigging character animation 2d 3d motion design"
"UX/UI Designer","figma sketch adobe xd wireframing prototyping user research usability design thinking accessibility"
"Fashion Designer","cad clo 3d pattern making draping textile sourcing garment construction tech pack sustainable fashion"
"Industrial Designer","solidworks rhino keyshot alias cad product design ergonomics materials manufacturing prototyping"
"Interior Stylist","interior styling mood board sourcing furniture textiles color palette photography staging client trend"
"Set Designer","set design drafting autocad scenic design prop construction theatre film television budget"
"Journalist","journalism reporting writing editing research sources fact checking seo cms wordpress social media"
"Editor","editing proofreading manuscript publishing content strategy style guide cms wordpress seo"
"Broadcast Journalist","broadcast journalism presenting reporting scriptwriting camera editing live tv radio digital social media"
"Podcast Producer","podcast production audio editing adobe audition logic pro interviews rss distribution spotify"
"Social Media Manager","social media content creation instagram tiktok linkedin twitter canva scheduling hootsuite analytics"
"Content Strategist","content strategy seo editorial content marketing audience brand voice analytics cms hubspot wordpress"
"Hotel Manager","hotel management hospitality front desk housekeeping revenue management occupancy pms operations"
"Restaurant Manager","restaurant management food service food safety haccp inventory cost control staff management pos"
"Chef","culinary arts cooking menu development food safety haccp inventory food cost team management catering"
"Sous Chef","sous chef kitchen management cooking plating food safety inventory scheduling training menu brigade"
"Pastry Chef","pastry baking confectionery plating dessert chocolate bread decorating food safety cost control"
"Barista","coffee espresso latte customer service pos cleanliness milk steaming specialty coffee training"
"Sommelier","wine sommelier beverage management tasting food pairing cellar inventory purchasing hospitality cws"
"Food Safety Manager","food safety haccp servsafe regulatory audit inspection sop training temperature control sanitation"
"Event Manager","event management planning logistics vendor management budget sponsorship marketing venue staffing"
"Travel Agent","travel itinerary booking gds sabre amadeus hotel airline visa customer service packages cruise"
"Tour Guide","tour guiding tourism history culture customer service languages itinerary safety group management"
"Real Estate Agent","mls listings buyer seller negotiation transaction management crm market analysis valuation mortgage"
"Real Estate Developer","real estate development land acquisition zoning construction finance pro forma npv irr investor relations"
"Property Manager","property management lease tenant maintenance rent collection yardi appfolio budget vendor compliance"
"Mortgage Broker","mortgage lending underwriting credit analysis loan origination nmls compliance fannie mae freddie mac"
"Real Estate Analyst","real estate analysis financial modeling pro forma dcf npv irr cap rate noi market research argus"
"Commercial Real Estate Broker","commercial real estate lease sale office retail industrial multifamily market analysis valuation"
"Supply Chain Analyst","supply chain logistics erp sap demand planning inventory procurement rfq lean six sigma excel"
"Logistics Manager","logistics supply chain transportation freight 3pl warehouse distribution tms wms erp import export"
"Fleet Manager","fleet management vehicles maintenance gps tracking telematics fuel driver compliance dot fmcsa"
"Customs Broker","customs brokerage import export tariff hs code cbp compliance documentation freight trade compliance"
"Freight Broker","freight brokerage trucking load board dat carrier shipper negotiation tms dispatch rate lane"
"Air Traffic Controller","air traffic control radar communications tower terminal en route separation navigation faa icao"
"Pilot","flying aircraft faa atpl type rating ifr vfr crm navigation airline charter corporate"
"Ship Captain","maritime navigation seamanship stcw vessel crew management cargo customs port safety imo"
"Agronomist","agronomy crop science soil science fertilization pest management irrigation gis precision agriculture yield"
"Agricultural Engineer","agricultural engineering irrigation drainage farm machinery food processing gis precision agriculture"
"Food Scientist","food science food safety quality control haccp gmp sensory formulation shelf life fda regulatory"
"Winemaker","winemaking viticulture fermentation harvest sensory blending chemistry barrel cellar quality control"
"Brewing Engineer","brewing fermentation quality control chemistry hops malt yeast process engineering packaging haccp"
"Sports Coach","coaching athletic training strength conditioning sport science periodization program design video analysis"
"Personal Trainer","personal training fitness strength training cardio nutrition client assessment program design nasm acsm"
"Athletic Trainer","athletic training injury prevention rehabilitation first aid taping sport medicine ncaa atc"
"Sports Analyst","sports analytics statistics python r data visualization tableau sql performance analysis scouting"
"Fitness Manager","fitness management gym group exercise personal training sales member retention scheduling budget"
"Yoga Instructor","yoga asana pranayama meditation anatomy sequencing cueing alignment certification ryt 200 hour"
"Sports Physiotherapist","sports physiotherapy musculoskeletal rehabilitation manual therapy sports injury athlete return to sport"
"Electrician","electrical installation wiring circuit breaker panel conduit nec osha testing inspection residential commercial"
"Plumber","plumbing pipe installation repair soldering pvc copper gas line water heater code inspection residential"
"HVAC Technician","hvac air conditioning heating ventilation refrigerant epa 608 troubleshooting maintenance installation"
"Welder","welding mig tig stick flux core blueprint metal aluminum stainless quality inspection osha"
"Carpenter","carpentry framing finish cabinet making woodworking blueprint tools renovation residential commercial safety"
"Machinist","machining cnc lathe mill blueprint tolerances gd&t quality inspection programming fanuc haas"
"Construction Worker","construction framing concrete masonry safety osha blueprint heavy equipment scaffolding site work"
"Industrial Mechanic","industrial maintenance mechanical hydraulics pneumatics preventive maintenance plc conveyor pump motor"
"Nonprofit Program Manager","program management grant management program evaluation stakeholder engagement budget impact community"
"Grant Writer","grant writing foundation government grants rfp proposal budget reporting stewardship research donor"
"Fundraising Manager","fundraising donor relations major gifts annual fund events board stewardship database salesforce campaign"
"Community Organizer","community organizing grassroots advocacy coalition canvassing voter registration training mobilization"
"Social Impact Analyst","social impact impact measurement theory of change data analysis program evaluation stakeholder reporting"
"NGO Project Manager","project management ngo international development logframe budget donor reporting monitoring evaluation"
"Strategy Consultant","strategy market analysis business development competitive analysis financial modeling excel powerpoint"
"IT Consultant","it consulting infrastructure cloud digital transformation erp sap oracle microsoft project management"
"Management Consulting Analyst","research data analysis excel powerpoint presentations financial modeling market sizing problem solving"
"Business Transformation Consultant","business transformation change management process improvement lean six sigma erp project management"
"Music Producer","music production daw logic pro ableton fl studio pro tools mixing mastering arrangement sound design"
"Sound Engineer","audio engineering pro tools logic pro mixing mastering recording foley post production dolby atmos"
"Sound Designer","sound design foley audio pro tools ableton field recording synthesis wwise fmod game audio film"
"Podcast Host","podcasting interviewing storytelling audio editing content strategy rss spotify apple podcasts marketing"
"Game Audio Designer","game audio wwise fmod sound design music implementation unity unreal adaptive music sfx"
"VFX Artist","visual effects nuke houdini maya 3ds max compositing particle effects simulation rendering film"
"Motion Graphics Designer","motion graphics after effects cinema 4d blender animation typography storyboard branding"
"Executive Assistant","executive support calendar management travel correspondence meeting management ms office zoom slack"
"Administrative Manager","office management administration budget vendor procurement hr coordination executive support ms office"
"Operations Analyst","operations process improvement data analysis excel sql reporting kpi project coordination lean"
"Executive Recruiter","executive search headhunting c-suite vp director sourcing assessment linkedin networking negotiation"
"Management Consultant","consulting strategy operations stakeholder excel powerpoint financial analysis recommendations client"
"Business Operations Manager","business operations process improvement efficiency kpi reporting budget vendor management project management"
"Chief of Staff","chief of staff executive strategy operations priorities communication project management stakeholder okr"
"Strategy Manager","strategy business analysis market analysis competitive intelligence excel powerpoint roadmap financial modeling"
"Change Management Consultant","change management prosci adkar stakeholder communication training adoption transformation project management"
"API Developer","rest api graphql grpc openapi swagger postman authentication oauth2 jwt versioning documentation python"
"Microservices Architect","microservices domain driven design event driven cqrs api gateway service mesh kubernetes docker kafka"
"Cloud Migration Engineer","cloud migration aws gcp azure terraform assessment discovery cutover testing rollback"
"FinTech Developer","fintech payments stripe plaid open banking swift iso 20022 financial api compliance kyc aml"
"HealthTech Developer","healthtech hl7 fhir epic cerner interoperability hipaa ehr clinical decision support api"
"EdTech Developer","edtech lms scorm canvas moodle accessibility wcag gamification learning analytics react"
"LegalTech Developer","legaltech contract management e-discovery legal analytics nlp ocr python node.js react compliance"
"PropTech Developer","proptech real estate mls listing map integration payments lease management node.js react python"
"AdTech Developer","adtech dsp ssp rtb real time bidding programmatic tracking attribution data pipeline kafka python"
"InsurTech Developer","insurtech insurance policy management claims underwriting api python node.js react kafka compliance"
"Cybersecurity Engineer","security engineering siem ids ips firewall vulnerability management devsecops sast dast python bash"
"Malware Analyst","malware analysis reverse engineering ida pro ghidra yara sandbox dynamic analysis static analysis"
"Incident Responder","incident response forensics containment eradication recovery siem splunk threat hunting ioc playbook"
"Bug Bounty Hunter","bug bounty web security owasp xss sql injection ssrf csrf xxe idor hackerone bugcrowd"
"Ethical Hacker","penetration testing kali linux metasploit burp suite nmap wireless social engineering red team ctf"
"Network Security Engineer","network security firewall palo alto fortinet checkpoint ids ips vpn siem packet analysis wireshark"
"Zero Trust Architect","zero trust sase ztna micro-segmentation identity iam pam mfa conditional access cloudflare zscaler"
"Quantum Computing Developer","quantum computing qiskit cirq quantum circuits qubit superposition entanglement quantum algorithms python"
"Computer Graphics Engineer","opengl vulkan directx metal shaders hlsl glsl rendering pipeline ray tracing gpu c++ graphics"
"Simulation Engineer","simulation matlab simulink ansys comsol openfoam gazebo ros python c++ modeling validation digital twin"
"Digital Twin Engineer","digital twin iiot azure digital twins aws iot python time series mqtt modeling simulation sensor"
"Edge Computing Engineer","edge computing iot mqtt aws greengrass azure iot edge kubernetes k3s rtos embedded python"
"5G Network Engineer","5g lte oran radio access network ran core network slicing mmwave 3gpp spectrum antenna"
"Satellite Engineer","satellite orbit telemetry attitude control power systems thermal gps link budget ground station"
"Autonomous Vehicle Engineer","autonomous vehicles self-driving lidar radar camera sensor fusion slam path planning ros c++ carla"
"Robotics Software Engineer","ros ros2 c++ python motion planning perception manipulation navigation simulation gazebo control slam"
"Computer Architect","computer architecture cpu gpu fpga asic risc-v arm pipeline cache memory verilog vhdl gem5"
"Geospatial Analyst","gis arcgis qgis remote sensing satellite imagery spatial analysis python postgis mapbox leaflet"
"Sports Data Analyst","sports analytics python r sql tracking data expected goals statsbomb tableau performance analysis"
"Social Media Analyst","social media analytics facebook insights instagram twitter hootsuite sprout social sentiment engagement"
"Customer Data Analyst","customer analytics crm salesforce sql python tableau power bi segmentation ltv churn cohort retention"
"Healthcare Data Analyst","healthcare analytics sql python r tableau power bi ehr claims data icd cpt quality metrics"
"Real Estate Data Analyst","real estate analytics sql python excel arcgis market analysis comp analysis argus demographics"
"Actuarial Analyst","actuarial pricing reserving r python sas excel statistical modeling glm risk regulatory solvency"
"Economic Analyst","economics econometrics stata r python regression policy analysis forecasting macroeconomics research"
"Insurance Data Analyst","insurance analytics claims underwriting pricing sql python r excel tableau sas predictive modeling"
"Compliance Analyst","compliance kyc aml regulatory risk management audit policy bsa ofac gdpr reporting financial regulations"
"AML Analyst","aml anti-money laundering kyc transaction monitoring sar ofac sanctions risk assessment compliance"
"Financial Risk Analyst","risk analysis var cvar stress testing credit risk market risk excel python r regulatory"
"Derivatives Trader","derivatives options futures swaps delta gamma vega theta pricing risk hedging bloomberg python"
"Fixed Income Trader","fixed income bonds treasury rates spread yield curve duration bloomberg trading risk hedge"
"M&A Analyst","m&a mergers acquisitions financial modeling lbo dcf valuation due diligence pitch book excel"
"IPO Analyst","ipo equity capital markets ecm s-1 prospectus road show valuation underwriting securities sec"
"Wealth Manager","wealth management portfolio financial planning retirement tax estate planning investment client cfp cfa"
"Insurance Analyst","insurance analysis underwriting pricing claims actuarial risk policy excel sas python r reinsurance"
"Private Wealth Advisor","private wealth high net worth portfolio management financial planning estate tax investment family office"
"Trade Finance Analyst","trade finance letter of credit documentary collection guarantee swift incoterms import export risk"
"Demand Generation Manager","demand generation inbound marketing content seo sem webinars email marketing automation mql pipeline"
"Account Based Marketing Manager","abm account based marketing target account personalization linkedin ads intent data 6sense salesforce"
"Marketing Automation Specialist","marketing automation hubspot marketo pardot eloqua salesforce nurture lead scoring segmentation"
"Conversion Rate Optimization Specialist","cro a/b testing multivariate testing landing page google optimize vwo optimizely heatmap hotjar"
"Customer Insights Manager","customer insights research survey nps csat ces focus group data analysis segmentation persona tableau"
"Loyalty Program Manager","loyalty rewards program crm customer retention engagement points tier analytics nps clv retention"
"Digital Advertising Specialist","digital advertising google ads facebook ads programmatic display video youtube linkedin ads tiktok"
"Trade Marketing Manager","trade marketing shopper marketing retail in-store promotions channel distribution pos category management"
"Ecommerce Manager","ecommerce shopify magento product listings seo ppc email conversion cart abandonment amazon"
"Podcast Marketing Specialist","podcast marketing spotify apple podcasts rss promotion audience growth seo social media analytics"
"Video Marketing Specialist","video marketing youtube tiktok instagram reels video production premiere pro seo analytics ads"
"Diversity Equity Inclusion Manager","diversity equity inclusion dei unconscious bias belonging employee resource groups training metrics"
"Employee Experience Manager","employee experience engagement culture onboarding surveys nps workplace benefits wellbeing recognition"
"Organizational Development Consultant","organizational development change management leadership development coaching facilitation assessment culture"
"Workforce Planning Analyst","workforce planning headcount forecasting attrition skills gap succession analytics excel tableau hris"
"Total Rewards Manager","total rewards compensation benefits equity bonus salary benchmarking job grading mercer radford hris"
"HR Analytics Manager","hr analytics people analytics workforce data turnover retention diversity sql python tableau workday"
"Executive Compensation Manager","executive compensation equity stock options rsu performance shares proxy sec filings benchmarking"
"Benefits Administrator","benefits administration health insurance dental 401k open enrollment cobra fmla ada hris vendor"
"Chief Operating Officer","coo operations strategy execution cross functional leadership kpi budget board process efficiency scaling"
"Business Process Manager","business process management bpmn process improvement lean six sigma automation rpa workflow erp sap"
"Continuous Improvement Manager","continuous improvement lean six sigma kaizen value stream mapping 5s kanban oee root cause analysis"
"Facilities Manager","facilities management maintenance vendor management space planning safety osha lease budget real estate"
"Procurement Analyst","procurement strategic sourcing rfq rfp vendor management negotiation sap ariba spend analysis excel"
"Global Operations Manager","global operations cross cultural supply chain logistics compliance erp sap kpi cost reduction"
"Health Safety Environment Manager","hse health safety environment iso 14001 iso 45001 osha risk assessment incident investigation audit"
"Risk Management Analyst","risk management risk assessment risk register mitigation compliance audit excel grc iso 31000"
"Creative Strategist","creative strategy brand campaigns consumer insights positioning ideation storytelling account management"
"Head of Design","design leadership team management design strategy brand ux product design figma design system hiring"
"Typography Designer","typography type design font typeface adobe illustrator glyphs kerning editorial brand print digital"
"Packaging Designer","packaging design structural design dieline adobe illustrator photoshop print production brand retail"
"Exhibition Designer","exhibition design spatial design autocad revit 3d rendering wayfinding graphic design visitor experience"
"Design Researcher","design research user research qualitative quantitative ethnography synthesis persona journey map insight"
"Creative Technologist","creative technology creative coding p5.js three.js ar vr installation interactive javascript"
"Privacy Counsel","privacy law gdpr ccpa cpra data protection dpia consent data breach regulatory cipp cipm"
"Securities Lawyer","securities law sec exchange act public company private placement ipo m&a insider trading proxy"
"Immigration Lawyer","immigration law visa green card h-1b o-1 l-1 naturalization deportation asylum removal uscis"
"Bankruptcy Attorney","bankruptcy chapter 7 chapter 11 restructuring insolvency creditor debtor reorganization plan"
"Tax Attorney","tax law irs tax planning tax controversy corporate tax transfer pricing international tax audit"
"Real Estate Attorney","real estate law transaction title closing escrow zoning entitlement contract lease landlord tenant"
"Healthcare Attorney","healthcare law hipaa stark law anti-kickback false claims fda cms medicare regulatory compliance"
"Criminal Defense Attorney","criminal defense criminal law trial plea bargain motion evidence constitutional appeal felony jury"
"Class Action Attorney","class action litigation mass tort discovery settlement certification damages consumer protection"
"Environmental Attorney","environmental law epa cercla clean air act clean water act nepa permits compliance litigation"
"Computational Biologist","computational biology python r bioinformatics genomics proteomics machine learning sequence analysis"
"Structural Biologist","structural biology x-ray crystallography cryo-em nmr protein structure pymol molecular dynamics"
"Cell Biologist","cell biology cell culture microscopy flow cytometry western blot immunofluorescence crispr confocal"
"Organic Chemist","organic chemistry synthesis nmr ms hplc reaction optimization scale up medicinal chemistry"
"Analytical Chemist","analytical chemistry hplc gc-ms nmr mass spectrometry method development validation gmp quality control"
"Physical Chemist","physical chemistry spectroscopy computational chemistry dft molecular dynamics kinetics thermodynamics"
"Immunologist","immunology flow cytometry elisa antibody t cell b cell cytokines western blot crispr assay development"
"Virologist","virology cell culture pcr sequencing virus infection pathogen biosafety mouse models viral vector"
"Microbiologist","microbiology cell culture pcr sequencing bacteria fungi antimicrobial biosafety aseptic technique"
"Toxicologist","toxicology in vitro in vivo ld50 dose response regulatory fda echa reach gmp glp safety assessment"
"Neuropharmacologist","neuropharmacology pharmacology cns receptor ligand binding electrophysiology behavior animal models"
"Oncology Researcher","oncology research cancer biology cell signaling tumor apoptosis drug resistance clinical trials crispr"
"Acoustic Engineer","acoustics noise control vibration measurement ansys matlab finite element iso ansi room acoustics"
"Optical Engineer","optics laser photonics zemax oslo optical design fiber optics imaging spectroscopy lens testing"
"Nuclear Engineer","nuclear engineering reactor neutronics thermal hydraulics shielding radiation mcnp regulatory nrc"
"Ocean Engineer","ocean engineering offshore structures hydrodynamics mooring marine subsea orcaflex regulations api"
"Mining Engineer","mining open pit underground blast design ventilation mine planning autocad vulcan safety osha msha"
"Petroleum Engineer","petroleum engineering reservoir drilling completion production well decline curve eclipse petrel regulations"
"Packaging Engineer","packaging engineering materials structural design sustainability testing fea autocad solidworks supply chain"
"Welding Engineer","welding engineering wps pqr weld inspection metallurgy ndt asme aws d1.1 destructive testing qualification"
"Corrosion Engineer","corrosion cathodic protection coatings inspection nace iso risk based inspection failure analysis"
"Gastroenterologist","gastroenterology endoscopy colonoscopy gi liver hepatology crohn ibd ehr clinical trials procedures"
"Rheumatologist","rheumatology arthritis lupus ra autoimmune dmard biologic infusion joint imaging clinical trials ehr"
"Endocrinologist","endocrinology diabetes thyroid hormone insulin cgm pump metabolism clinical trials ehr"
"Pulmonologist","pulmonology respiratory lung copd asthma sleep apnea bronchoscopy spirometry icu ventilator ehr"
"Urologist","urology prostate kidney bladder incontinence laparoscopic robotic cystoscopy stone cancer bph ehr"
"Nephrologist","nephrology kidney dialysis hemodialysis renal failure ckd transplant electrolytes fluid management ehr"
"Hematologist","hematology blood leukemia lymphoma myeloma bone marrow stem cell transplant coagulation flow cytometry"
"Infectious Disease Physician","infectious disease infection antibiotic sepsis hiv hepatitis microbiology cultures antimicrobial ehr"
"Sports Medicine Physician","sports medicine athlete musculoskeletal injury rehabilitation concussion ultrasound injections ehr"
"Palliative Care Physician","palliative care hospice pain management symptom management goals of care end of life ehr"
"Hospitalist","hospital medicine inpatient discharge care coordination ehr epic rounding patient safety quality"
"Telemedicine","telemedicine telehealth virtual care remote e-prescribing ehr patient communication state licensure"
"Dietitian","dietitian nutrition clinical nutrition medical nutrition therapy enteral parenteral ehr counseling"
"Genetic Counselor","genetic counseling genetics variant interpretation patient counseling risk assessment hereditary cancer"
"Radiology Technologist","radiology x-ray ct mri ultrasound fluoroscopy pacs arrt positioning radiation safety contrast"
"Dental Assistant","dentistry dental assistant chairside radiograph impressions infection control scheduling patient care"
"Dentist","dentistry dds dmd restorative cosmetic endodontics periodontics oral surgery x-ray patient care"
"Orthodontist","orthodontics braces invisalign clear aligners extraction expansion malocclusion cephalometric dental"
"Oral Surgeon","oral surgery extraction implant wisdom teeth jaw facial trauma anesthesia bone graft biopsy imaging"
"Veterinary Technician","veterinary technician animal care laboratory imaging surgery anesthesia medication patient records"
"Curriculum Developer","curriculum development instructional design learning objectives assessment lms scorm alignment standards"
"Education Policy Analyst","education policy research legislation data analysis stakeholder engagement reporting evaluation government"
"Academic Dean","academic leadership curriculum faculty accreditation budget student success assessment strategic planning"
"School Administrator","school administration leadership budget staff management student outcomes compliance policy community"
"Library Director","library management collections budget staff community engagement programming digital resources grants"
"University Registrar","registrar enrollment management student records transcript degree audit graduation compliance erp"
"Financial Aid Officer","financial aid fafsa federal student aid grants scholarships loans verification compliance reporting"
"Admissions Counselor","admissions recruitment college fairs interviews review scholarship diversity outreach crm enrollment"
"Budget Analyst","budget analysis financial management appropriations forecasting excel sql reporting stakeholder government"
"City Manager","city management government operations budget policy leadership staff community council public safety"
"Emergency Management Director","emergency management fema eop hazmat incident command ics continuity of operations training exercise"
"Public Health Director","public health epidemiology community health health policy budget staff regulatory grant stakeholder"
"Parks Recreation Director","parks recreation programming community facilities maintenance budget staff grants safety special events"
"Human Services Director","human services social services budget compliance policy staff management community grants reporting"
"Tax Commissioner","tax administration property tax assessment appraisal appeals compliance budget staff technology reporting"
"Court Administrator","court administration case management scheduling budget staff compliance records technology stakeholder"
"Elevator Technician","elevator escalator installation maintenance repair hydraulic traction safety code asme a17.1 electrical"
"Fire Protection Engineer","fire protection sprinkler suppression fire alarm nfpa code compliance hazard hydraulic inspection"
"Solar Installer","solar photovoltaic pv installation electrical wiring roof mounting net metering nec osha commissioning"
"Wind Turbine Technician","wind turbine maintenance repair electrical mechanical hydraulics climbing safety scada gearbox generator"
"Diesel Mechanic","diesel engine transmission hydraulics electrical diagnostic preventive maintenance heavy equipment trucks"
"Refrigeration Technician","refrigeration hvac refrigerant epa 608 compressor evaporator condenser electrical troubleshooting commercial"
"Water Treatment Operator","water treatment wastewater filtration chlorination testing compliance epa regulations safety"
"Crane Operator","crane operation rigging load calculation safety osha nccco certification signals site inspection"
"Pipefitter","pipefitting welding blueprint reading pipe layout installation pressure testing isometric safety osha asme"
"Sheet Metal Worker","sheet metal fabrication hvac ductwork blueprint layout welding installation safety osha"
"Retail Manager","retail management store operations sales inventory staff customer service merchandising kpi pos"
"Buyer","retail buying merchandise planning vendor management purchasing negotiation trend analysis otb inventory"
"Merchandising Manager","merchandising visual merchandising planogram assortment planning inventory sell-through margin retail"
"Category Manager","category management procurement vendor sourcing negotiation analytics pricing margin market analysis"
"Ecommerce Coordinator","ecommerce shopify product listings seo images inventory orders customer service analytics email"
"Amazon Marketplace Manager","amazon seller central asin listing optimization sponsored products fba fulfillment review management"
"Retail Analyst","retail analytics sell-through inventory margin pricing sql excel tableau market analysis category"
"Loss Prevention Manager","loss prevention shrinkage theft cctv investigation compliance safety retail training policy"
"International Development Specialist","international development programs monitoring evaluation logframe humanitarian donor reporting budget"
"Humanitarian Aid Worker","humanitarian emergency response shelter food security wash protection camp coordination logistics"
"Microfinance Specialist","microfinance financial inclusion mfi loans credit savings impact measurement field poverty rural"
"Conservation Scientist","conservation ecology wildlife biodiversity gis field research monitoring remote sensing policy"
"Development Economics Researcher","development economics poverty impact evaluation rct randomized controlled trial stata r data analysis"
"Museum Curator","museum curation collection management exhibition art history research cataloging conservation donor"
"Gallery Director","gallery art exhibitions artist relations sales acquisition budget marketing events collector art"
"Arts Administrator","arts administration nonprofit budget grant writing programming events marketing community engagement"
"Performing Arts Manager","performing arts theatre dance music programming production budget marketing ticketing venue board"
"Music Director","music direction conducting repertoire ensemble rehearsal performance music education score programming"
"Low Code Developer","power apps power automate outsystems mendix appian salesforce low code no code workflow automation"
"Salesforce Developer","salesforce apex visualforce lightning lwc soql sosl integration rest api salesforce admin trailhead"
"ServiceNow Developer","servicenow itsm hrsd csm scripting flow designer integration hub rest api javascript glide cmdb"
"SAP Developer","sap abap fiori btp s4hana sd mm fi co bapis idocs hana sql integration"
"Oracle Developer","oracle pl/sql oracle apex oracle forms erp ebs cloud integration rest api sql java"
"Microsoft 365 Developer","microsoft 365 sharepoint teams power platform power apps power automate azure ad graph api"
"Dynamics 365 Developer","dynamics 365 c# power platform power apps dataverse azure api plugin workflow pcf canvas app"
"NetSuite Developer","netsuite suitescript suiteflow suitelet customization restlet integration edi ecommerce crm erp"
"Workday Developer","workday workday studio eis raas xslt rest api integration hcm payroll financials report writing"
"Tableau Developer","tableau tableau server calculated fields lod data blending javascript api sql python analytics"
"Power BI Developer","power bi dax power query data model star schema report dashboard power bi service row level security"
"Looker Developer","looker lookml explores dimensions measures derived tables sql bigquery snowflake dashboard"
"Databricks Engineer","databricks apache spark delta lake unity catalog mlflow notebooks python scala sql jobs workflows"
"Snowflake Engineer","snowflake sql data warehouse data sharing snowpipe dbt python time travel cloning performance tuning"
"dbt Developer","dbt sql bigquery snowflake redshift models tests documentation sources snapshots materializations"
"Payment Systems Engineer","payments stripe braintree adyen pci dss tokenization 3ds fraud detection iso 8583 swift api"
"Fraud Analyst","fraud detection transaction monitoring machine learning rules engine chargeback kyc aml python sql"
"Quantitative Developer","quantitative c++ python java low latency high frequency fix protocol market data order management"
"Algorithmic Trading Developer","algorithmic trading c++ python fix protocol market microstructure latency order execution backtesting"
"Open Banking Developer","open banking psd2 api oauth2 fapi json rest consent tpp aisp pisp fintech banking integration"
"Solar Energy Engineer","solar photovoltaic pv energy storage inverter grid autocad pvsyst nec design commissioning"
"Wind Energy Engineer","wind energy wind turbine structural aerodynamics fatigue openfast bladed matlab ansys scada commissioning"
"Battery Storage Engineer","battery energy storage bms lithium ion cell module thermal management cycle life charging electric vehicle"
"Energy Analyst","energy analysis energy modeling energy efficiency hvac equest energyplus leed ashrae utility bills"
"Grid Engineer","power grid transmission distribution scada energy management system protection relay load flow ieee"
"Communications Manager","communications pr media relations press release crisis communications brand social media writing"
"Corporate Communications Director","corporate communications investor relations media relations executive communications crisis board"
"Investor Relations Manager","investor relations ir earnings call annual report 10-k sec filings analyst roadshow institutional investors"
"Internal Communications Manager","internal communications employee intranet town hall newsletter change management culture engagement"
"Commercial Real Estate Analyst","commercial real estate financial modeling argus dcf noi cap rate market analysis leasing debt equity"
"Real Estate Investment Analyst","real estate investment financial modeling argus pro forma dcf irr equity multiple waterfall debt"
"Leasing Agent","leasing commercial real estate tenant landlord lease negotiation crm market prospecting tours"
"Property Appraiser","real estate appraisal comparable sales income approach cost approach fnma fha inspection reporting"
"Tax Manager","tax corporate tax income tax deferred tax transfer pricing international tax excel onesource corptax erp"
"Internal Auditor","internal audit sox risk based audit internal controls cia cisa data analytics excel acl"
"External Auditor","external audit gaap ifrs sox audit planning audit testing internal controls cpa working papers"
"FP&A Manager","fp&a financial planning analysis budget forecast variance analysis financial modeling excel power bi"
"Revenue Accountant","revenue recognition asc 606 ifrs 15 saas subscription contract deferred revenue excel erp netsuite"
"Cost Accountant","cost accounting standard cost variance analysis inventory bill of materials erp sap excel manufacturing"
"Payroll Manager","payroll adp workday ultipro garnishments tax withholding w-2 compliance benefits state taxes excel"
"AP Manager","accounts payable invoice processing three-way match vendor management erp sap oracle month end close"
"AR Manager","accounts receivable collections cash application aging erp sap oracle credit billing month end close"
